Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
0.000000,1.675000,0.125000,0.244000,0.000000,0.000000,0.000000
0.050000,1.674981,0.125012,0.233404,-0.004503,0.006969,-0.004285
0.100000,1.674773,0.125144,0.227722,-0.091584,0.127566,0.002767
0.150000,1.674557,0.125335,0.229763,-0.162020,0.173305,0.055903
0.200000,1.674557,0.125542,0.230999,-0.152068,0.147779,0.092259
0.250000,1.674683,0.125727,0.230654,-0.142706,0.145283,0.094397
0.300000,1.674825,0.125829,0.230376,-0.150524,0.152885,0.082630
0.350000,1.674922,0.125946,0.230403,-0.148073,0.166345,0.069247
0.400000,1.674984,0.126098,0.230452,-0.151774,0.163795,0.068061
0.450000,1.674983,0.126247,0.230466,-0.150290,0.162011,0.070489
0.500000,1.674904,0.126375,0.230441,-0.150640,0.158617,0.073331
0.550000,1.674800,0.126461,0.230438,-0.148346,0.154534,0.077143
0.600000,1.674772,0.126541,0.230436,-0.145974,0.150970,0.073878
0.650000,1.674777,0.126577,0.230408,-0.152022,0.149151,0.065704
0.700000,1.674852,0.126593,0.230401,-0.150477,0.157706,0.047323
0.750000,1.674859,0.126649,0.230413,-0.148648,0.155777,0.039022
0.800000,1.674943,0.126706,0.230426,-0.146170,0.156237,0.047868
0.850000,1.675084,0.126741,0.230414,-0.143362,0.157169,0.053893
0.900000,1.675233,0.126753,0.230430,-0.149615,0.166447,0.047439
0.950000,1.675282,0.126811,0.230429,-0.145055,0.161809,0.045605
1.000000,1.675179,0.126861,0.230417,-0.151962,0.164779,0.041470
1.050000,1.675109,0.126891,0.230419,-0.152691,0.154637,0.044455
1.100000,1.675038,0.126904,0.230423,-0.147762,0.149264,0.056027
1.150000,1.675008,0.126892,0.230428,-0.152816,0.151236,0.052782
1.200000,1.675021,0.126871,0.230415,-0.151473,0.152400,0.031467
1.250000,1.675056,0.126826,0.230422,-0.143088,0.145085,0.030878
1.300000,1.675085,0.126847,0.230447,-0.143647,0.150372,0.032346
1.350000,1.675081,0.126894,0.230448,-0.149109,0.151511,0.035652
1.400000,1.675082,0.126901,0.230423,-0.146429,0.147358,0.049103
1.450000,1.675117,0.126895,0.230421,-0.151116,0.152626,0.057990
1.500000,1.675198,0.126878,0.230407,-0.146183,0.148827,0.061109
1.550000,1.675240,0.126851,0.230410,-0.151119,0.148137,0.061999
1.600000,1.675208,0.126826,0.230422,-0.150097,0.157920,0.069066
1.650000,1.675105,0.126823,0.230418,-0.145558,0.160111,0.073282
1.700000,1.675040,0.126843,0.230419,-0.148149,0.143233,0.065610
1.750000,1.675036,0.126882,0.230419,-0.147907,0.145713,0.060678
1.800000,1.675110,0.126948,0.230439,-0.145253,0.152504,0.061001
1.850000,1.675188,0.127043,0.230445,-0.147512,0.157542,0.058924
