Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
49.599998,1.406233,0.250475,0.224560,-0.129806,-0.484893,-14.982792
49.649998,1.405652,0.250144,0.316939,0.003300,-0.776976,-15.019096
49.700001,1.404270,0.249939,0.312491,-0.014459,-0.706338,-14.976633
49.750000,1.404579,0.249442,0.286396,0.165086,-0.895700,-15.150634
49.799999,1.403792,0.249430,0.259128,0.445098,-1.212889,-15.159646
49.849998,1.403217,0.249103,0.210406,0.636796,-1.538008,-15.183405
49.899998,1.407060,0.249276,0.183217,0.092634,0.046756,-15.106577
49.950001,1.408661,0.251460,0.182960,0.011547,0.048070,-15.153263
50.000000,1.407869,0.251755,0.182478,-0.006367,0.017173,-15.200190
50.049999,1.407721,0.251386,0.182154,-0.001026,0.005982,-15.206406
50.099998,1.407821,0.251443,0.181958,-0.002816,0.008509,-15.192262
50.149998,1.407870,0.251466,0.181833,-0.001659,0.006667,-15.206315
50.200001,1.407548,0.250583,0.224999,0.354474,-0.041807,-15.475228
50.250000,1.404833,0.245852,0.317961,0.711852,-0.570313,-15.775822
50.299999,1.401569,0.241506,0.355865,1.093265,-0.899279,-15.755511
50.349998,1.401011,0.239852,0.333635,1.860165,-1.542602,-16.013113
50.399998,1.400355,0.238606,0.268414,2.470040,-1.868891,-16.394249
50.450001,1.398047,0.234626,0.214644,3.132048,-2.566730,-16.688755
50.500000,1.401670,0.237791,0.185108,0.013954,0.052017,-16.809006
50.549999,1.404003,0.241879,0.184108,-0.015395,0.018279,-16.586292
50.599998,1.403764,0.241505,0.183179,-0.001875,0.009429,-16.552549
50.649998,1.403183,0.240796,0.182582,0.001476,0.000067,-16.616554
50.700001,1.403318,0.240934,0.182243,0.004758,-0.003705,-16.629908
50.750000,1.403507,0.241122,0.182019,0.002312,0.003069,-16.622360
50.799999,1.403534,0.241155,0.181864,-0.001162,0.003273,-16.626192
50.849998,1.403483,0.241160,0.181760,-0.003142,0.000976,-16.634897
50.899998,1.402758,0.239632,0.224516,-0.135149,0.200301,-16.580130
50.950001,1.399518,0.236656,0.317201,0.144229,-0.341462,-16.668154
51.000000,1.397049,0.233842,0.354920,0.812258,-0.829785,-16.569357
51.049999,1.394428,0.232465,0.332175,1.439785,-1.081720,-16.611282
51.099998,1.392415,0.230973,0.266256,1.976586,-1.430559,-16.959641
51.149998,1.389457,0.228294,0.211835,2.598151,-2.068569,-17.097353
51.200001,1.392671,0.232298,0.184691,0.059825,-0.103191,-17.067230
51.250000,1.396300,0.235680,0.183957,-0.015632,-0.005590,-16.872646
51.299999,1.395966,0.234828,0.183142,-0.009409,0.007843,-16.857237
51.349998,1.394918,0.234317,0.182546,0.002995,-0.011386,-16.874819
51.399998,1.394861,0.234303,0.182201,0.003990,-0.009274,-16.849430
